stadium,city,country,capacity,attendance,lat,lon
Estadio Azteca,Mexico City,Mexico,87523,85000,19.303,-99.1505
MetLife Stadium,East Rutherford,USA,82500,82000,40.8128,-74.0742
AT&T Stadium,Arlington,USA,80000,78000,32.7473,-97.0945
Rose Bowl,Pasadena,USA,88565,87000,34.1613,-118.1676
MetLife Stadium 2,East Rutherford,USA,82500,81000,40.8128,-74.0742
Estadio BBVA,Monterrey,Mexico,53500,52000,25.67,-100.2444
Estadio Akron,Guadalajara,Mexico,49850,48000,20.682,-103.4625
BMO Field,Toronto,Canada,45000,44000,43.6332,-79.4186
BC Place,Vancouver,Canada,54320,53000,49.2768,-123.112
SoFi Stadium,Inglewood,USA,70240,69000,33.9535,-118.3392
Hard Rock Stadium,Miami,USA,64767,64000,25.958,-80.2389
NRG Stadium,Houston,USA,72220,71000,29.6847,-95.4107
Lincoln Financial Field,Philadelphia,USA,69176,68000,39.9008,-75.1675
Lumen Field,Seattle,USA,68740,67000,47.5952,-122.3316
Estadio Centenario,Montevideo,Uruguay,60235,58000,-34.8384,-56.1589
